subject,night,condition,type,time_span,feature,data
AB31R,1,Known Alarm,selfreport,last_30min,ss_std,146.14460891831996
AB31R,1,Known Alarm,selfreport,last_30min,ss_std_60,146.14460891831996
AB31R,1,Known Alarm,selfreport,last_hour,ss_max,1426.367188
AB31R,1,Known Alarm,selfreport,last_hour,ss_max_60,1426.367188
AB31R,1,Known Alarm,selfreport,last_hour,ss_max_position,0.3811425269046598
AB31R,1,Known Alarm,selfreport,last_hour,ss_mean,321.4595170909091
AB31R,1,Known Alarm,selfreport,last_hour,ss_mean_60,568.1640626666667
AB31R,1,Known Alarm,selfreport,last_hour,ss_median,62.890625
AB31R,1,Known Alarm,selfreport,last_hour,ss_median_60,491.23046899999997
AB31R,1,Known Alarm,selfreport,last_hour,ss_number,11.0
AB31R,1,Known Alarm,selfreport,last_hour,ss_number_60,6.0
AB31R,1,Known Alarm,selfreport,last_hour,ss_skewness,1.4599541465272892
AB31R,1,Known Alarm,selfreport,last_hour,ss_skewness_60,0.6997072363013511
AB31R,1,Known Alarm,selfreport,last_hour,ss_std,458.6046124858011
AB31R,1,Known Alarm,selfreport,last_hour,ss_std_60,509.5815828022612
AB31R,1,Known Alarm,selfreport,total,ss_max,3645.507812
AB31R,1,Known Alarm,selfreport,total,ss_max_60,3645.507812
AB31R,1,Known Alarm,selfreport,total,ss_max_position,0.02176076820023529
AB31R,1,Known Alarm,selfreport,total,ss_mean,498.8610197894737
AB31R,1,Known Alarm,selfreport,total,ss_mean_60,780.0911459166667
AB31R,1,Known Alarm,selfreport,total,ss_median,164.453125
AB31R,1,Known Alarm,selfreport,total,ss_median_60,412.51953100000003
AB31R,1,Known Alarm,selfreport,total,ss_number,38.0
AB31R,1,Known Alarm,selfreport,total,ss_number_60,24.0
AB31R,1,Known Alarm,selfreport,total,ss_skewness,2.481508087424733
AB31R,1,Known Alarm,selfreport,total,ss_skewness_60,1.9394702243361954
AB31R,1,Known Alarm,selfreport,total,ss_std,808.3587408613243
AB31R,1,Known Alarm,selfreport,total,ss_std_60,909.4330148908323
AC12E,0,Known Alarm,imu,last_30min,ss_max,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_max_60,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_max_position,0.0
AC12E,0,Known Alarm,imu,last_30min,ss_mean,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_mean_60,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_median,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_median_60,1799.609375
AC12E,0,Known Alarm,imu,last_30min,ss_number,1.0
AC12E,0,Known Alarm,imu,last_30min,ss_number_60,1.0
AC12E,0,Known Alarm,imu,last_30min,ss_skewness,0.0
AC12E,0,Known Alarm,imu,last_30min,ss_skewness_60,0.0
AC12E,0,Known Alarm,imu,last_hour,ss_max,2218.554688
AC12E,0,Known Alarm,imu,last_hour,ss_max_60,2218.554688
AC12E,0,Known Alarm,imu,last_hour,ss_max_position,0.383681596398464
AC12E,0,Known Alarm,imu,last_hour,ss_mean,439.62402362500006
AC12E,0,Known Alarm,imu,last_hour,ss_mean_60,1143.5156253333334
AC12E,0,Known Alarm,imu,last_hour,ss_median,29.6289065
AC12E,0,Known Alarm,imu,last_hour,ss_median_60,925.664063
AC12E,0,Known Alarm,imu,last_hour,ss_number,8.0
AC12E,0,Known Alarm,imu,last_hour,ss_number_60,3.0
AC12E,0,Known Alarm,imu,last_hour,ss_skewness,1.6913006259658365
AC12E,0,Known Alarm,imu,last_hour,ss_skewness_60,0.38666296966612085
AC12E,0,Known Alarm,imu,last_hour,ss_std,785.2998307169311
AC12E,0,Known Alarm,imu,last_hour,ss_std_60,984.3624079062569
AC12E,0,Known Alarm,imu,total,ss_max,2622.265625
AC12E,0,Known Alarm,imu,total,ss_max_60,2622.265625
AC12E,0,Known Alarm,imu,total,ss_max_position,0.38548678503364264
AC12E,0,Known Alarm,imu,total,ss_mean,562.4312066666668
AC12E,0,Known Alarm,imu,total,ss_mean_60,784.22210696875
AC12E,0,Known Alarm,imu,total,ss_median,283.28125
AC12E,0,Known Alarm,imu,total,ss_median_60,632.148438
AC12E,0,Known Alarm,imu,total,ss_number,45.0
AC12E,0,Known Alarm,imu,total,ss_number_60,32.0
AC12E,0,Known Alarm,imu,total,ss_skewness,1.3417420943096046
AC12E,0,Known Alarm,imu,total,ss_skewness_60,1.0701992329830068
AC12E,0,Known Alarm,imu,total,ss_std,652.1053727703868
AC12E,0,Known Alarm,imu,total,ss_std_60,654.0156910425156
AC12E,0,Known Alarm,selfreport,last_30min,ss_max,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_max_60,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_max_position,0.0
AC12E,0,Known Alarm,selfreport,last_30min,ss_mean,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_mean_60,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_median,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_median_60,1799.609375
AC12E,0,Known Alarm,selfreport,last_30min,ss_number,1.0
AC12E,0,Known Alarm,selfreport,last_30min,ss_number_60,1.0
AC12E,0,Known Alarm,selfreport,last_30min,ss_skewness,0.0
AC12E,0,Known Alarm,selfreport,last_30min,ss_skewness_60,0.0
AC12E,0,Known Alarm,selfreport,last_hour,ss_max,2262.734375
AC12E,0,Known Alarm,selfreport,last_hour,ss_max_60,2262.734375
AC12E,0,Known Alarm,selfreport,last_hour,ss_max_position,0.3714094277258505
AC12E,0,Known Alarm,selfreport,last_hour,ss_mean,439.687499875
AC12E,0,Known Alarm,selfreport,last_hour,ss_mean_60,1143.6848956666665
AC12E,0,Known Alarm,selfreport,last_hour,ss_median,29.628906
AC12E,0,Known Alarm,selfreport,last_hour,ss_median_60,925.664062
AC12E,0,Known Alarm,selfreport,last_hour,ss_number,8.0
AC12E,0,Known Alarm,selfreport,last_hour,ss_number_60,3.0
AC12E,0,Known Alarm,selfreport,last_hour,ss_skewness,1.7200310214961472
AC12E,0,Known Alarm,selfreport,last_hour,ss_skewness_60,0.3722481646159556
AC12E,0,Known Alarm,selfreport,last_hour,ss_std,801.0092880816414
AC12E,0,Known Alarm,selfreport,last_hour,ss_std_60,1027.5352649473448
AC12E,0,Known Alarm,selfreport,total,ss_max,2622.265625
AC12E,0,Known Alarm,selfreport,total,ss_max_60,2622.265625
AC12E,0,Known Alarm,selfreport,total,ss_max_position,0.3720331101190476
AC12E,0,Known Alarm,selfreport,total,ss_mean,539.8369564782608
AC12E,0,Known Alarm,selfreport,total,ss_mean_60,769.14672853125
AC12E,0,Known Alarm,selfreport,total,ss_median,277.6953125
AC12E,0,Known Alarm,selfreport,total,ss_median_60,632.148437
AC12E,0,Known Alarm,selfreport,total,ss_number,46.0
AC12E,0,Known Alarm,selfreport,total,ss_number_60,32.0
AC12E,0,Known Alarm,selfreport,total,ss_skewness,1.4388567445138396
AC12E,0,Known Alarm,selfreport,total,ss_skewness_60,1.1704103647750512
AC12E,0,Known Alarm,selfreport,total,ss_std,638.341978608789
AC12E,0,Known Alarm,selfreport,total,ss_std_60,642.7224544496657
AC12E,1,Known Alarm,imu,last_30min,ss_max,823.085937
AC12E,1,Known Alarm,imu,last_30min,ss_max_60,823.085937
